,area_code,area_name
0,AREA150,北海道
1,AREA160,東北
2,AREA110,関東
3,AREA170,北陸
4,AREA130,中部
5,AREA120,関西
6,AREA180,中国
7,AREA190,四国
8,AREA140,九州
9,AREA200,沖縄
